Brand,Year,Model,UsedOrNew,Transmission,EngineDisplacement(L),DriveType,FuelType,FuelConsumption(L)/100km,Kilometers,CylindersinEngine,BodyType,State
Hyundai,2012,I30,USED,Automatic,2.0,Front,Unleaded,7.6,209552,4,Hatchback,NSW
Mitsubishi,2021,Outlander,USED,Automatic,2.4,AWD,Unleaded,7.2,51311,4,SUV,NSW
Toyota,2022,Yaris,USED,Automatic,1.5,Front,Hybrid,3.3,17984,3,Hatchback,NSW
Jeep,2014,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,137763,6,SUV,NSW
Honda,2022,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,21532,4,SUV,NSW
Land,2015,Rover,USED,Automatic,3.0,4WD,Diesel,8.8,139968,6,SUV,NSW
MG,2022,ZS,DEMO,Automatic,1.5,Front,Unleaded,7.1,15,4,SUV,NSW
Mitsubishi,2015,Triton,USED,Manual,2.4,4WD,Diesel,7.2,154276,4,Ute / Tray,NSW
Mercedes-Benz,2009,E500,USED,Automatic,5.5,Rear,Premium,11.0,98170,8,Sedan,NSW
Kia,2013,RIO,USED,Manual,1.4,Front,Unleaded,5.7,131990,4,Hatchback,NSW
Toyota,2019,Corolla,USED,Automatic,2.0,Front,Unleaded,6.0,173605,4,Hatchback,NSW
Toyota,2017,HiAce,USED,Automatic,3.0,Rear,Diesel,8.7,160331,4,Commercial,NSW
Holden,2010,Commodore,USED,Automatic,3.0,Rear,Unleaded,9.3,203500,6,Wagon,NSW
Toyota,2018,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,37726,4,Ute / Tray,NSW
Mazda,2018,3,USED,Automatic,2.5,Front,Unleaded,6.1,50304,4,Hatchback,NSW
BMW,2018,M140I,USED,Automatic,3.0,Rear,Premium,7.1,59223,6,Hatchback,NSW
Hyundai,2013,Accent,USED,Automatic,1.6,Front,Unleaded,6.4,103629,4,Sedan,NSW
